2022-11-08 10:25:17 startup archives unpack
2022-11-08 10:25:17 install libpython3.9-minimal:amd64 <none> 3.9.2-1
2022-11-08 10:25:17 status half-installed libpython3.9-minimal:amd64 3.9.2-1
2022-11-08 10:25:17 status unpacked libpython3.9-minimal:amd64 3.9.2-1
2022-11-08 10:25:17 install libexpat1:amd64 <none> 2.2.10-2+deb11u5
2022-11-08 10:25:17 status triggers-pending libc-bin:amd64 2.31-13+deb11u5
2022-11-08 10:25:17 status half-installed libexpat1:amd64 2.2.10-2+deb11u5
2022-11-08 10:25:17 status unpacked libexpat1:amd64 2.2.10-2+deb11u5
2022-11-08 10:25:17 install python3.9-minimal:amd64 <none> 3.9.2-1
2022-11-08 10:25:17 status half-installed python3.9-minimal:amd64 3.9.2-1
2022-11-08 10:25:17 status unpacked python3.9-minimal:amd64 3.9.2-1
2022-11-08 10:25:17 startup packages configure
2022-11-08 10:25:17 configure libpython3.9-minimal:amd64 3.9.2-1 <none>
2022-11-08 10:25:17 status unpacked libpython3.9-minimal:amd64 3.9.2-1
2022-11-08 10:25:17 status half-configured libpython3.9-minimal:amd64 3.9.2-1
2022-11-08 10:25:17 status installed libpython3.9-minimal:amd64 3.9.2-1
2022-11-08 10:25:17 configure libexpat1:amd64 2.2.10-2+deb11u5 <none>
2022-11-08 10:25:17 status unpacked libexpat1:amd64 2.2.10-2+deb11u5
2022-11-08 10:25:17 status half-configured libexpat1:amd64 2.2.10-2+deb11u5
2022-11-08 10:25:17 status installed libexpat1:amd64 2.2.10-2+deb11u5
2022-11-08 10:25:17 configure python3.9-minimal:amd64 3.9.2-1 <none>
2022-11-08 10:25:17 status unpacked python3.9-minimal:amd64 3.9.2-1
2022-11-08 10:25:17 status half-configured python3.9-minimal:amd64 3.9.2-1
2022-11-08 10:25:17 status installed python3.9-minimal:amd64 3.9.2-1
2022-11-08 10:25:17 startup archives unpack
2022-11-08 10:25:17 install python3-minimal:amd64 <none> 3.9.2-3
2022-11-08 10:25:17 status half-installed python3-minimal:amd64 3.9.2-3
2022-11-08 10:25:17 status unpacked python3-minimal:amd64 3.9.2-3
2022-11-08 10:25:17 install media-types:all <none> 4.0.0
2022-11-08 10:25:17 status half-installed media-types:all 4.0.0
2022-11-08 10:25:17 status unpacked media-types:all 4.0.0
2022-11-08 10:25:17 install libmpdec3:amd64 <none> 2.5.1-1
2022-11-08 10:25:17 status half-installed libmpdec3:amd64 2.5.1-1
2022-11-08 10:25:17 status unpacked libmpdec3:amd64 2.5.1-1
2022-11-08 10:25:17 install libncursesw6:amd64 <none> 6.2+20201114-2
2022-11-08 10:25:17 status half-installed libncursesw6:amd64 6.2+20201114-2
2022-11-08 10:25:17 status unpacked libncursesw6:amd64 6.2+20201114-2
2022-11-08 10:25:17 install readline-common:all <none> 8.1-1
2022-11-08 10:25:17 status half-installed readline-common:all 8.1-1
2022-11-08 10:25:18 status unpacked readline-common:all 8.1-1
2022-11-08 10:25:18 install libreadline8:amd64 <none> 8.1-1
2022-11-08 10:25:18 status half-installed libreadline8:amd64 8.1-1
2022-11-08 10:25:18 status unpacked libreadline8:amd64 8.1-1
2022-11-08 10:25:18 install libsqlite3-0:amd64 <none> 3.34.1-3
2022-11-08 10:25:18 status half-installed libsqlite3-0:amd64 3.34.1-3
2022-11-08 10:25:18 status unpacked libsqlite3-0:amd64 3.34.1-3
2022-11-08 10:25:18 install libpython3.9-stdlib:amd64 <none> 3.9.2-1
2022-11-08 10:25:18 status half-installed libpython3.9-stdlib:amd64 3.9.2-1
2022-11-08 10:25:18 status unpacked libpython3.9-stdlib:amd64 3.9.2-1
2022-11-08 10:25:18 install python3.9:amd64 <none> 3.9.2-1
2022-11-08 10:25:18 status half-installed python3.9:amd64 3.9.2-1
2022-11-08 10:25:18 status unpacked python3.9:amd64 3.9.2-1
2022-11-08 10:25:18 install libpython3-stdlib:amd64 <none> 3.9.2-3
2022-11-08 10:25:18 status half-installed libpython3-stdlib:amd64 3.9.2-3
2022-11-08 10:25:18 status unpacked libpython3-stdlib:amd64 3.9.2-3
2022-11-08 10:25:18 startup packages configure
2022-11-08 10:25:18 configure python3-minimal:amd64 3.9.2-3 <none>
2022-11-08 10:25:18 status unpacked python3-minimal:amd64 3.9.2-3
2022-11-08 10:25:18 status half-configured python3-minimal:amd64 3.9.2-3
2022-11-08 10:25:18 status installed python3-minimal:amd64 3.9.2-3
2022-11-08 10:25:18 startup archives unpack
2022-11-08 10:25:18 install python3:amd64 <none> 3.9.2-3
2022-11-08 10:25:18 status half-installed python3:amd64 3.9.2-3
2022-11-08 10:25:18 status unpacked python3:amd64 3.9.2-3
2022-11-08 10:25:18 install libelf1:amd64 <none> 0.183-1
2022-11-08 10:25:18 status half-installed libelf1:amd64 0.183-1
2022-11-08 10:25:18 status unpacked libelf1:amd64 0.183-1
2022-11-08 10:25:18 install libbpf0:amd64 <none> 1:0.3-2
2022-11-08 10:25:18 status half-installed libbpf0:amd64 1:0.3-2
2022-11-08 10:25:18 status unpacked libbpf0:amd64 1:0.3-2
2022-11-08 10:25:18 install libmd0:amd64 <none> 1.0.3-3
2022-11-08 10:25:18 status half-installed libmd0:amd64 1.0.3-3
2022-11-08 10:25:18 status unpacked libmd0:amd64 1.0.3-3
2022-11-08 10:25:18 install libbsd0:amd64 <none> 0.11.3-1
2022-11-08 10:25:18 status half-installed libbsd0:amd64 0.11.3-1
2022-11-08 10:25:18 status unpacked libbsd0:amd64 0.11.3-1
2022-11-08 10:25:18 install libcap2:amd64 <none> 1:2.44-1
2022-11-08 10:25:18 status half-installed libcap2:amd64 1:2.44-1
2022-11-08 10:25:18 status unpacked libcap2:amd64 1:2.44-1
2022-11-08 10:25:18 install libmnl0:amd64 <none> 1.0.4-3
2022-11-08 10:25:18 status half-installed libmnl0:amd64 1.0.4-3
2022-11-08 10:25:18 status unpacked libmnl0:amd64 1.0.4-3
2022-11-08 10:25:18 install libxtables12:amd64 <none> 1.8.7-1
2022-11-08 10:25:18 status half-installed libxtables12:amd64 1.8.7-1
2022-11-08 10:25:18 status unpacked libxtables12:amd64 1.8.7-1
2022-11-08 10:25:18 install libcap2-bin:amd64 <none> 1:2.44-1
2022-11-08 10:25:18 status half-installed libcap2-bin:amd64 1:2.44-1
2022-11-08 10:25:18 status unpacked libcap2-bin:amd64 1:2.44-1
2022-11-08 10:25:18 install iproute2:amd64 <none> 5.10.0-4
2022-11-08 10:25:18 status half-installed iproute2:amd64 5.10.0-4
2022-11-08 10:25:18 status unpacked iproute2:amd64 5.10.0-4
2022-11-08 10:25:18 install openssl:amd64 <none> 1.1.1n-0+deb11u3
2022-11-08 10:25:18 status half-installed openssl:amd64 1.1.1n-0+deb11u3
2022-11-08 10:25:18 status unpacked openssl:amd64 1.1.1n-0+deb11u3
2022-11-08 10:25:18 install ca-certificates:all <none> 20210119
2022-11-08 10:25:18 status half-installed ca-certificates:all 20210119
2022-11-08 10:25:18 status unpacked ca-certificates:all 20210119
2022-11-08 10:25:18 install libatm1:amd64 <none> 1:2.5.1-4
2022-11-08 10:25:18 status half-installed libatm1:amd64 1:2.5.1-4
2022-11-08 10:25:19 status unpacked libatm1:amd64 1:2.5.1-4
2022-11-08 10:25:19 install libgpm2:amd64 <none> 1.20.7-8
2022-11-08 10:25:19 status half-installed libgpm2:amd64 1.20.7-8
2022-11-08 10:25:19 status unpacked libgpm2:amd64 1.20.7-8
2022-11-08 10:25:19 install libpam-cap:amd64 <none> 1:2.44-1
2022-11-08 10:25:19 status half-installed libpam-cap:amd64 1:2.44-1
2022-11-08 10:25:19 status unpacked libpam-cap:amd64 1:2.44-1
2022-11-08 10:25:19 startup packages configure
2022-11-08 10:25:19 configure media-types:all 4.0.0 <none>
2022-11-08 10:25:19 status unpacked media-types:all 4.0.0
2022-11-08 10:25:19 status half-configured media-types:all 4.0.0
2022-11-08 10:25:19 status installed media-types:all 4.0.0
2022-11-08 10:25:19 configure libgpm2:amd64 1.20.7-8 <none>
2022-11-08 10:25:19 status unpacked libgpm2:amd64 1.20.7-8
2022-11-08 10:25:19 status half-configured libgpm2:amd64 1.20.7-8
2022-11-08 10:25:19 status installed libgpm2:amd64 1.20.7-8
2022-11-08 10:25:19 configure libsqlite3-0:amd64 3.34.1-3 <none>
2022-11-08 10:25:19 status unpacked libsqlite3-0:amd64 3.34.1-3
2022-11-08 10:25:19 status half-configured libsqlite3-0:amd64 3.34.1-3
2022-11-08 10:25:19 status installed libsqlite3-0:amd64 3.34.1-3
2022-11-08 10:25:19 configure libatm1:amd64 1:2.5.1-4 <none>
2022-11-08 10:25:19 status unpacked libatm1:amd64 1:2.5.1-4
2022-11-08 10:25:19 status half-configured libatm1:amd64 1:2.5.1-4
2022-11-08 10:25:19 status installed libatm1:amd64 1:2.5.1-4
2022-11-08 10:25:19 configure libcap2:amd64 1:2.44-1 <none>
2022-11-08 10:25:19 status unpacked libcap2:amd64 1:2.44-1
2022-11-08 10:25:19 status half-configured libcap2:amd64 1:2.44-1
2022-11-08 10:25:19 status installed libcap2:amd64 1:2.44-1
2022-11-08 10:25:19 configure libcap2-bin:amd64 1:2.44-1 <none>
2022-11-08 10:25:19 status unpacked libcap2-bin:amd64 1:2.44-1
2022-11-08 10:25:19 status half-configured libcap2-bin:amd64 1:2.44-1
2022-11-08 10:25:19 status installed libcap2-bin:amd64 1:2.44-1
2022-11-08 10:25:19 configure libmnl0:amd64 1.0.4-3 <none>
2022-11-08 10:25:19 status unpacked libmnl0:amd64 1.0.4-3
2022-11-08 10:25:19 status half-configured libmnl0:amd64 1.0.4-3
2022-11-08 10:25:19 status installed libmnl0:amd64 1.0.4-3
2022-11-08 10:25:19 configure libncursesw6:amd64 6.2+20201114-2 <none>
2022-11-08 10:25:19 status unpacked libncursesw6:amd64 6.2+20201114-2
2022-11-08 10:25:19 status half-configured libncursesw6:amd64 6.2+20201114-2
2022-11-08 10:25:19 status installed libncursesw6:amd64 6.2+20201114-2
2022-11-08 10:25:19 configure libxtables12:amd64 1.8.7-1 <none>
2022-11-08 10:25:19 status unpacked libxtables12:amd64 1.8.7-1
